classification,tweet
"positive","Belated post: I actually really liked the Steelers' 1934 throwback uniforms from Sunday's game against WSH. People just hatin'. :P #FB"
"positive","JETT LOUNGE 3701 clairmont rd ATL. one of the nicest party I been all year. DAMN this is the place to be. Ladies don't miss it SMP Saturday"
"positive","@MittRomney may have Meat Loaf and Ted Nugent, but @EdShow is rolling with @PearlJam tonight!  'Nuff said!  #stateofloveandtrust #edshow"
"positive","The Wednesday iPad edition is out now - including Tom Segal's Pricewise advice and brilliant previews for Juddmonte International day"
"positive","PAUWIIN NYO MUNA AKO BAGO KAYO PUMUNTA JAN PLSPLSPLSPLS "@owyposadas: See you at sm Bacolod :)""
"positive","This "Too Cute" puppy show on Animal planet might just be the greatest thing ever. I may never leave my room. #HomeworkCanWait"
"positive","Friday night lights at east York lol remember when it was good"
"positive","Tryna be more than temporary , love you everyday like February . I'm tryna make us soo official like #loverboy"
"positive","who's coming to the Marijuana March in Cardiff tomorrow? Support the cause #legalizeweed!"
"negative","@_mariaaaaaaah That's what I figured. We suspect you may be experiencing some issues related to the storm, Maria. We're working on it! ^DGM"
"positive","Rest in peace Star Wars conceptual artist Ralph McQuarrie, May the force be with you my friend"
"negative","If we're still 3rd favourites at the end of the day then odds have more shit than White Hart Lane and Anfield put together."
"positive","I am hosting the Open Lobby! Saturday 15th ( Tomorrow ) 1:00PM - 3:00PM UK Time Gamertag "iL Ash Li" Be there guys it's going 2 be awesome!"
"negative","Is this how David Miliband got into Oxford with bad grades? http://t.co/R0IA8ucz #BBCNews"
"negative","3rd one dropped by Afghans. This is not how you put pressure.  #indvafg #wt20"
"positive","@sandraa0407 @Stillsanna @JRoyaal Dongwoo's reaction to 7th rank is just hilarious!!! xD"
"negative","may nabasa aq! I dunno if im going to believe it or not :/ ang sabe dito nasa hell daw si Pope John Paul II &gt;:| .."
"positive","So after David Ruffin sat in the trap and smoked crack all day Friday all day Saturday and Sunday I gotta salute his will to keep going!"
"positive","played Wednesday, outclassed a premier league team tonight by the sounds of it! #SWFC #OperationPTL"
"positive","If you are in #OrangeCounty / near Laguna Hills, please come visit me at Awakenings this Thursday at 7PM! http://t.co/nDH2xQRT"
"negative","The International Committee of the Red Cross on Friday warned that three Palestinian hunger strikers were at risk... http://t.co/rOHLu0N6"
"positive","#nacamam @naca you have to try Skywalk Deli on the 2nd floor of the Comerica building on Monroe! #bestlunche http://t.co/VdDNFq5c"
"positive","@sandraa0407 @Stillsanna Dongwoo is like a big baby, sooo cute :3 I just wanna hug him... Is Dongwoo becoming my 3rd Infinite bias? *0*"
"positive","Guess what?! We are going to be having our Christmas party on December 6th! No shows, unless your Justin Beiber.... http://t.co/iaDZABbB"
"positive","#3DT Make sure you find your self at the "S.E.C" THiS Thursday for $3 Thursdays!! $3 w/ College ID $5 w/ Reg ID til 11pm!!! #iParty"
"positive","So I might go to the Selma vs. Kingsburg game tomorrow (:"
"positive","Hopefully watching the Lorax will get my mind off tomorrow"
"negative","Mom just asked if I wanted to see the Knicks vs Celtics in October...I hate both teams but it's a live game hmm"
"positive","Tomorrow is the Big Day!!!!! We celebrate UpNSmoke Woodlands one year anniversary. Grand Prize winner of the... http://t.co/H6Ehttse"
"positive","Nine Goa Congress legislators want to join us: BJP: Panaji, Oct 31: Goa's ruling Bharatiya Janata Party (BJP) to... http://t.co/eyppTNWn"
"positive","@JessicaPenne @InvictaFights Miesha Tate says your going to win Oct 6th during her interview and you are a bad ass at 105... go girl :)"
"negative","@hannnn_ox that's shit :(  Banff would be better aswell! Still going out in Keith on the 3rd? X"
"positive","Monroe bound tomorrow! It's a must leave Ruston for a day"
"positive","Happy Birthday Haryana. ay you get the best in times to come."
"positive","Dear March, I'm gonna live my life no matter what we party tonight cause its National Bieber Day (y)"
"positive","@Bangz_InYaMouth woosahhhh it's Courtney! Long time no see from 1st lady!"
"negative","@_Maleven one last push Sunday, and most of them will have a weeks not playing cos of the cup game midweek before NUFC. I never make ....."
"positive","@SSbike yep, wanted to limit it to 1 tweet! :)  impressive palmares. While I'm here, stages in Tirreno,Vuelta,Paris-Nice,Suisse, 4th Roubaix"
"positive","Sungkyunkwan scandal for the 3rd time!!! Can't get enough of Park Yoochun, Park MinYoung, Song JoongKi and especially Yoo Ah In! :)"
"negative","Sandy Alderson may as well change his name to Madoff because he is robbing the Mets."
"positive","Australian Directioners! iGo One Direction (iCarly) is premiering on Nickelodeon the 24th of July at 4:30pm. (: how exciting! x"
"negative","Danny Care may be the best scrum half England have but he's still a massive c-bomb"
"positive","@thedylanholland you should totally come and perform in Houston and while your at it come and visit the Houston Rodeo in March :)"
"negative","How many of you believe that Andrew Breitbart very well may have been murdered?"
"positive","Brilliant 85 mins for @naisy14 in the Mersey derby. Not a bad game for 1st goal...."
"positive","Happy November 1st SWEET friends!!! SWEET Thursday NOD's (names of the day) are.....Charrish, Selma, and Aiden.... http://t.co/xzJgrSfd"
"positive","Alejandro Valverde wins Stage 3 of Paris-Nice. Can he catch Bradley Wiggins? The answer http://t.co/9Otcq6fW #parisnice"
"positive","finally listened to Wrecking Ball before I see the concert tomorrow evening!!"
"positive","@tomhanks Youve done Bob's Great, The Pacific great, now how about one following the 15th USAAF, 456th squadron B-24, Capt. Klingler???"
"positive","You may not recognize his name (yet), but you will definitely know his music. Check out the amazing Bill Carter... http://t.co/ZD68PDs4"
"positive","Frank Gaffrey, Cliff May, Steve Emerson: Brilliant. "Looming Threats: Iran, Hezbollah Hamas" is the best #cufidc session I've had thus far."
"negative","Red Cross: Syria conflict is now a civil war: The International Committee of the Red Cross said on Sunday it now http://t.co/2qmInBUf"
"negative","Off to #StolenSpaceLND to see the Shepard Fairey show I didn't get to see last Friday..."
"positive","Interesting that Gregg Williams' affadavit was just signed on Friday."
"positive","I'll be playing #MITD tonight around 8:30pm EST. Open Lobby will most likely be TOMORROW EVENING. Keep an eye on YouTube/Twitter."
"negative","The U16s game with shotton has been called off due to a waterlogged pitch, so they're now going to llani on wednesday night. Sorry lads!"
"negative","... but if I say "Wilt Chamberlain is the 4th-best player ever", it's the start of a long, fruitless argument that no one can win. [2/2]"
"positive","It's amazing to see the success thus far early from Udofia, considering how Marshall, etc stifled Lorenzo Brown on Thursday night"
"positive","FCA is tomorrow morning at 7:30 in the PAC! We're doing small groups! I hope to see you all there!"
"negative","I DO NOT want a repeat of strawberry festival bus ride home from buckwheat this Friday. @randaroo_95"
"negative","Will not be going to hari terbuka next friday, have to go to putrajaya"
"negative","@rmei @CarolHollyT @megishere @BriteAnna and sad as it is, the 6 month waiting time still means i will be on HRT before i would have had 1st"
"positive","#NowWatching ~ Silent House. Guess I'm in love w/ Elizabeth Olsen. Gotta find 'Martha Marcy May Marlene'. Heard that she's really good there"
"negative","Krul crocked, just putting it out there Craig Gordon britains 2nd most expensive keeper is without a club? #nufc #SAFC #FTM"
"positive","@SarahHanan @NickHughesAW Nice to be missed Maino.  Hope you're having fun. 2nd night all all-inclusive?"
"positive","Who wants to go to a haunted house with me on Friday only 12$ with college ID!!!"
"positive","Thanks for everyone who came out for day 2 of World Music Festival! we'll see you tomorrow at 10am for a global grooves dance party"
"positive","CAVA is looking forward for one of the biggest event of the year. The Strawberry Festival in 350 Main St. Watsonville from Sat-Sun 10-5P."
"positive","this friday at the arlene francis center!!! kinship, not to reason why, echorev, girls in suede and iditarod! doors at 7 :)"
"positive","@KendrickLamaar Bro I love the new song "Poetic Justice" You're doing great things. May God Bless"
"positive","Uber pumped about FCA breakfast tomorrow morning in the cafeteria! 7:30! Be there to fellowship, learn, and eat some free food! #RT"
"positive","How great would it be if the power came back today but so many schools in fairfax country didn't have power so school was closed tomorrow?"
"negative","Tom Boonen has been summoned to man the polling station in Mol this Sunday. If he doesn't, he'll get fined http://t.co/zEPnatOJ"
"positive","HRT: We have to try and improve the car: Oct.26 (HRT) The Formula 1 World Championship returned to action today ... http://t.co/ysITtmbb"
"negative","When Mr.Craig said sunday night was officially the last day of Marching Band. &lt; &lt;"
"positive","#NowWatching The Kandi Factory, and I'm liking it so far."
"negative",""@Reality_Touch: Hamid Mir has rejected the negative views of Saleem Safi,Sana bucha &amp; Kamran Shahid on PTI peace march. Read his tweets !""
"positive","@spatoon I saw her on Tuesday by Java Jazz. And I can't help it if girls like me LOL :P"
"negative","it's a sunday, i think in the spirit of douglas adams and feeling like shit i will have a second bath"
"negative","Distin's derby disappointment: Sylvain Distin has voiced his frustration at taking just a point from Sunday's Mersey... http://t.co/Fob4ZxLR"
"negative","I'm mad that I haven't changed the channel. I've actually watched 3 episodes of Stevie TV & every time I get mad at myself for watching it!"
"positive","Must give the boys there spot back for most viewed video in 24hrs! Directioners tomorrow is the boys night! #LittleThingsVideoCountdown"
"negative","The Brick$quad is the Yankees of 8th period English III with Doc Caputo. #targetonourbacks #hatedbyall #champions"
"positive","Big game with VCU tomorrow night! Second-place is on the line. #LetsGoX http://t.co/rUGy8UMJ"
"positive","I'm very excited to announce that I'll be opening for the amazing @edsheeran again this coming Tuesday at Irving Plaza NYC!"
"positive","Inmarsat's SwiftBroadband Soars to New Heights: Inmarsat (LSE:ISAT.L), the leading provider of global mobile sat... http://t.co/wYM5S74b"
"positive","We nailed the Trifecta at #Belmont today for $1,139.00 in the 7th race!  Check it out: http://t.co/bYMS71CE"
"positive","If You Can't Beat 'Em, Recruit 'Em ( #YHOO, AOL, GOOG, TWX, AAPL: Inc. (NASDAQ: YHOO) may have the biggest weapo... http://t.co/EuacVGrv"
"positive","FRIDAY NIGHT LIGHTS!!! Here in Brownsville the match between Hanna Eagels and Rivera Raiders."
"positive","@cmcrunk Indeed I am. I get back late Tuesday night so I can easily come into Banff the next day. What time would be good for you?"
"negative","I guess I should've been out giving out books last night for World Book Day. Instead I sat in large dark room watching the Avengers assemble"
"positive","World Walking Day in few more hours! See you guys at Putrajaya! I am gonna bring my camera along :) http://t.co/elgxvRe2 #fb"
"positive","We will be at the MA Rural Water's Trifecta on Sept 12 demonstrating Utility Cloud and presenting on cloud technologies.  See you there!"
"negative","@Wheres_myMOJO stfu wit them excuses...Clippers gonna beat the hell outta the Lakers tomorrow"
"positive","Purim's Dancer runs in the 7th @santaanitapark today. The local goat must be wishing her good luck http://t.co/xnzn11Md"
"positive","Hammond: we now have a balanced budget with an affordable equipment programme, backed by what will still be the 4th largest defence budget."
"negative","Why the hell does Selma have school tomorrow but Parlier, clovis &amp; others don't?"
"positive","@KenadeeLee FCA is tomorrow, I'd love to see you there Kenadee"
"positive","@MosseyJ this is true...... dude Ying yang twins are playing on the green tomorrow"
"positive","As we patiently awaitRT @RealBlackCoffee: Back in Studio putting final touches to the #Album...should be out nxt week Friday."
"positive","#np BAGSAKAN by parokya ni Edgar, Gloc 9 and Francis M. &lt;3 I may sound baduy but it's the only tagalog song nga NINDOOOOOT JOD KAAYO DMD &lt;3"
"positive","If you guys don't have plans Saturday night, now you do! Come down to the Rex theatre on E Carson st and support my dude @PatrickFabila"
"positive","Monday feels a little easier after Safc res fantastic win...and the Mackems couldnt even beat us with 10 in own backyard #alwaysinourshadow"
"negative","Karthikeyan in 22nd is already being warned by his HRT engineer that he needs to cool the brakes, with 53 laps still to go. #F1"
"negative","@iJustinAriana aww :/ im pissed cause i cant download Unbroken on youtube anymore sigh, and im also going to the cinema tomorrow :D"
"positive","@PhilKitro What have you got for tomorrow? I have over 2.5 in Espanyol - Bilbao, Sociedad to win and Osauna - 0.25."
"positive","Thank you St David for $7 parking on a home game Saturday. #aff2012"
"positive","@hensley_shana Awesome Photo of the snow starting in West Liberty! May we broadcast with credit to you? http://t.co/n8f43O2h"
"positive","@Kandi It's almost time 4 Kandi Factory cuz March 4th is just round da corner. If u do another season I want 2 try out AGAIN. LOL I'm ready!"
"positive","Tjo today I heard that Eskom's rebate is untill march for the solar. Its nice to be connected"
"positive","Long weekend kicked off tomorrow with Jack White. Heebie jeebies"
"positive","Jgh from SPC with Yfc 3rd years. Masaya na nakakalungkot. I hope for our change guys. #YfcPublishingISULONG"
"positive","#Jedward wins the last at #Newmarket. Tom Segal of the Racing Post will be back tomorrow to preview every race at the #JulyFestival. #racing"
"positive","YES we have the NUFC vs West Brom LIVE on our tv's Newcastle United are back at ST JAMES PARK for the 1st time in... http://t.co/q2GjHsSI"
"positive","Buzzing for the game against Derby at White Hart Lane next Saturday. #PUFC #UTP"
"positive","Spurs manager Andre Villas-Boas was proud of the commitment shown by his men after they held off a fast-finishing Southampton on Sunday."
"positive","@marklocko11 with those winnings u can play Chesters shot games tomorrow."
"negative","@NiallOfficial AUSTRALIAN DIRECTIONERS just had a heart attack. the news said that you boys were back here in Oct/Nov :-( #nottrue ? x"
"positive","Get the Skinny on Verizon announces Ice Cream Sandwich for Motorola Droid Bionic: After waiting for what may hav... http://t.co/tlq6roQG"
"positive","@rima_wiwit @OchaGreen The Red Fort is very cool. My favorite place so far. Workshop starts tomorrow then one more day left."
"negative","By botching case against Lieberman, Israel's AG may have made way for his union with Netanyahu   http://t.co/clCKpDsH"
"negative","Just met the players for the 1st time: this Roger Johnson fella walks around like he owns the place. So I debagged him &amp; flicked his helmet!"
"positive","I have no doubt that Wiggins will win Tour de Romandie tomorrow. Second stage race win after Paris-Nice. He's so going to be on TDF podium!"
"negative","Watching the #49ers game from Sunday night and I see why Cliff Avril was throwing fits. He was getting his butt kicked all night"
"positive","For all you cyclists and film fans, today is the start of the BicycleFilmFestival @bffworld at the Barbican Centre until Sunday!"
"positive","Home now and I am sacked out with my puppy on my couch on the afternoon sun after a long Thursday... Douglas Adams was a genius #HHGttG"
"positive","- Joseph Prince (FB):Don't worry about tomorrow! Jesus, your divine servant, has gone ahead of you, p...Don't wo... http://t.co/d88LhLHU"
"negative","@YahooSports  It is the 6th straight 1st ROUND SUBMISSION not 6th straight 1st minute KO, Miesha Tate did go 4:00+ with her. Get it right!"
"positive","Real good game here: Laguna Hills stuns Dana Hills with 4th quarter comeback (video) http://t.co/fzDLfnLt"
"positive","On Election Day, November 6 MDC WILL be having class as a make up day. We will see all of our Dance III lovelies then!"
"negative","im moving back to houston on the 9th, i can live here nomore ! MONROE to fcked up!!"
"negative","@ugus_sacks Or SJP's evil twin who's plotting to put out the sun."
"positive","@lil_jessss @chasefreespirit Awww I miss you girls too!! And yes tomorrow night ill see you at Young Life! :)"
"positive","Rui En should be 1st lead. confirm. She is good eh. I like her scene with her niece and yangyang. chemistry damn good."
"positive","Looking forward to Friday day and night! Excited to be involved in the seminar portion at Drexel and the show at... http://t.co/Y2GfBkiF"
"negative","LPG price hike put on hold: Facing stiff opposition, the Centre on Thursday night put on hold the Rs. 26.50 incr... http://t.co/9ouJesPv"
"positive","@4BarsofFire I debated it 1st, but now i totally agree, followed by Poetic Justice.."
"positive","@MrRPMurphy @BetteMidler should play April's mom. So the great Kristin Chenoweth can also be on. What an amazing episode that could be!"
"negative","IEBC may hold the most modern &amp; credible elections, but that wont stop Kenya from Burning again IF the intolerance we r witnessing continues"
"positive","Thanks everybody for the bday wishes!! Gonna have a big celebration tomorrow at Ostend!!! CHERRY MOON RETRO... http://t.co/fJvQAPwH"
"positive","Today is the day LOL 2nd annual fish fry @ Big Bangs http://t.co/TOW5ybTO"
"positive","February Stars, 15 years old and still one of the best songs Dave Grohl has ever written. #fact"
"positive","@zooarchaeologis cool, come to Monday group, they would love it, we often do day trips out together, Fire Station, World Book Day and stuff!"
"positive","I may just pee my pants. I am within inches of Rhonda Rousey! Gosh, she is pretty! But not as pretty as my wife."
"negative","@lazofficial How they gone kill u on da 1st episode of the new season of Breakout Kings? Damn no more eye candy. Miss you"
"positive","McIlroy keeps a steady hand during the Honda Classic second round | Golf Channel http://t.co/Oqnj1t0I via @golfchannel"
"positive","I still remember those days when Demi was tweeting lyrics from Unbroken and now she's tweeting lyrics from her 4th album! Im so excited! &lt;3"
"positive","going to Cobham tomorrow, BEYOND excited."
"positive","Now that the sun is on him, my iguana is more active."
"positive","Can't wait for ISS tomorrow.... Not but at least ill have Kenna with me"
"positive","Happy Birthday Wilt Chamberlain! He may be dead, but was also known for being stiff when he was alive."
"positive","I love watching Mersey side derbys but you just know Mariner will ruined it in the 1st 10 minutes"
"positive","On tha real tho... I don't care if you never go to your schools Young Life, you should definitely go to ALL CITY tomorrow night... #YL"
"positive","@SJR1978 You staying up to watch Paris-Nice stage tonight? Should be exciting!"
"positive","Who is ready to party with us, March Fourth Marching Band, and MTHDS this Saturday night at the Gothic Theatre?... http://t.co/wTfZtEMq"
"positive","Idc if tomorrow decides to be a shitty day I'm gonna make it the best goddamn day ever. #determined"
"positive","Happy birthday @justinbieber ! National Bieber Day . Now he's 18th years, but he's #stillkidrauhl #IndonesiaSaysHBDforJustinBieber"
"positive","Trifecta....Lions win...tigers win....tigers win again = a good Sunday siting on the couch."
"positive","So in Marching Band we're supposed to have music memorized for Saturday...I've had it down since band camp #whoops #overachiever #dontmindme"
"positive","#stAte is giving #ULOL the business...long pass play from Aplin to Jones - Red Wolves up 20-0 2nd Q #SunBelt"
"positive","skipping school tomorrow and going to Tennessee instead. #soundsgoodtome"
"positive","David Miliband on #BBCQT! This is going to be a wild Thursday night!"
"positive",""Counting" by Christina Grimmie reminds me of Nashville. I always listen to it on the roadtrip. Saturday will be no exception :)"
"positive","@krisbear16 yesss,, omg!!! i think Myungsoo in my 2nd place after Gyu, he's replacing Hoya now"
"negative","This mess is coming towards us tomorrow. SPC has a slight risk out for tomorrow, and we'll know more about what it... http://t.co/GlDS4kVA"
"positive","Watched The Cabin in the Woods, Silent House, Psycho, and The Rocky Horror Picture Show today! Yay! :)) Tomorrow iba naman ulit! :D"
"positive","Tryna make tomorrow much better"
"positive","@cafn8d Thank you! If one of the rabbis on campus can come by today with Purim greetings, so can you!"
"negative","Cliff Avril leaves Detroit Lions game with back injury: Detroit Lions defensive end Cliff Avril left Sunday's game... http://t.co/iyxroefy"
"positive","- Joseph Prince (FB):Jesus is not present to find fault with you today. You may have been raised in...Jesus is n... http://t.co/yycb7Qc6"
"positive","My sister and I are going to SM this Saturday afternoon to watch Lorax. I am so asking my dad for popcorn money. :))"
"positive","If I ever celebrated halloween I'd either be Janet Jackson from Poetic Justice or the girl w/ the braids from Friday :D"
"positive","Harris English may be playing some incredible golf at the moment, but the AP still labels his photos as "Zach Johnson.""
"positive","Starts Friday night Irving plaza NYC me and @bteband touring with Chiodos &lt;- stoked"
"negative","I will once again be missing another Brookwood event that everyone will be talking about tomorrow because of soccer #whatsnew"
"positive","Red Wolves hoops picked to finish second in their Sun Belt division. I want to believe. I want to believe. I want to believe."
"positive","@holden_racing What a move by Briscoe!! And just before the yellow. HRT is on the march!! #GC600 #V8SC"
"positive","She is the perfect theme song for a homie out on saturday night with a bottle of Rohypnol"
"negative","""A single-vehicle crash early Sunday morning claimed the life of a Selma teen. James Brandon Banks, 19, was... http://t.co/ZANBUvxv"
"positive","@pauleyP best line ever as abby "he wears $3000 sun glasses &amp; has Justin Beiber on his harddrive cant we arrest him for that?"
"positive","'Simchat Torah Bash!' at the Chaplains tomorrow night at 9! A night you will enjoy as much as Purim! See event for more details!"
"positive","DIRECTIONERS!! NOW WE HAVE TO PROVE THAT WE ARE A BIG FAMILY!! On Friday released video for the song little things"
"positive","@Greeneye_6 Thank you! I will see you tomorrow for more Uncharted banging and Tomb Raider talk :D"
"negative","Tomorrow. 6 million Directioners will just cry and watch the video in silence. #LittleThings"
"positive","Really looking forward to the Passion 4 Pink event tomorrow night at Medusa in Brownsville. It's perfect for a... http://t.co/g9GQrLaE"
"positive","When did Wilt Chamberlain have time for basketball?: TUESDAY marked the birthday of greatest athlete to come fro... http://t.co/xi1otZ6p"
"positive","I Will Be Performing at the DC Star on September 1st Hope Yall Can Come Thru! http://t.co/UXZjcSul"
"positive","@WoodysGamertag woody are you going to do another mail monday with FPS Russia cause the last one was hilarious that was by far my fav#GENIUS"
"positive","OK, going to be with @ThsKit on Saturday at SM Bacolod, to meet my CRUSH!!! BOOM! XD!! hahahahqa"
"positive","tonight $2 tipsy tuesdays at 1433 Arch street at big bangs good food, music, and $2 drinks at ( 15th &amp; Arch  http://t.co/5ZsyKWVQ"
"negative","Steve Emerson interview on shameful US response to Islamist Riots on Sun TV :: IPT in the News :: The Investigat... http://t.co/XBX1MZ8D via"
"negative","I reckon in 6 years time I'll be in with a chance of fucking Pixie Lott if I bump into her on a night out. Rohypnol may be required."
"positive","Lorenzo Brown gave nervous #NCState fans one less thing to worry about on Tuesday in Spain: http://t.co/smPwNH5Y"
"negative","Just watched the whole 2nd season of Breakout Kings only to find out they canceled the fucking show -.-"
"positive","@mosajjal @HusseinMarhoon perhaps then it may be time soon. It's a good idea loaning Longo out to Espanyol then"
"positive","State qualifiers, young Life, short day tomorrow lifes pretty damn good(;"
"positive","Fancy an enhanced acca on your Sunday morning? Take the 9/1 on Espanyol, Lazio &amp; Heracles all winning! http://t.co/Ns2Fw09h"
"positive","Dont miss this Tonight and tomorrow! BIG Day of the dead celebration!... http://t.co/0G5BAW47"
"positive",""Eskom's #Entrepreneurship #Education Simama Ranta" 9 provincial winning schools exhibit at Coca-Cola Dome 13 - 16 September. See you there"
"positive","me myles and will are all sat in Chesters bed with Chester on the floor. drinking. playing FIFA. feel like a boy"
"positive","Asikkk nanti di konser Java Jazz ada kak Sierranya,hmm it's a good news!*lirik @SierraSoetedjo"
"positive","Can't wait to see the Lakers tomorrow!"
"negative","Our 1st SEC contact about NYSE delay (7/2010) was none other than Mark Donohue. Same guy who botched early Madoff inquiry."
"positive","@ChestersShop This is one of my favourite things about Chesters, the pizza's taste fantastic! Alternative to a sunday lunch?"
"negative","Sorry to the Directioners, Beliebers, Lovatics, and Team Grimmie people who don't like BTR but tomorrow is going to be all to Kendall."
"positive","Pack's Brown looks to rebound: Lorenzo Brown and the Wolfpack are hoping today's game against the D... http://t.co/fwLeb5f3 #raleighnews"
"positive","Captain Darren Sammy just announced Windies will be "playing for Runako Morton" during 3rd ODI. "Tribute a great team man and brother""
"positive","If you like the sound of that it's on at 8pm every Wednesday on the Animal Planet channel"
"positive","Ted Nugent said it best when he was recently asked: what is America's single worst problem? Apathy. I'd argue Ignorance is a very close 2nd."
"positive","Gabe Carimi called for his 2nd holding and 3rd in 2 games. But got lucky with offsetting calls. Its his first time facing DE Cliff Avril."
"positive","#2 in the BCS! Let's all enjoy this moment in the sun. It's been a long time coming for the Wildcat faithful! #EMAW"
"positive","@MariaDBK Yup. Well we had a fun but small conversation but I'll talk to you tomorrow. Goodnight Maria. ;)"
"positive","@OffDutyGamers @thefpshow are you really saying that FPS Russia plays with airsoft guns...c'mon he doesn't need that he's got the real shit"
"positive","TOMORROW! If yu havent marked it in yur calender...DO IT NOW! Christina Grimmie on DWTS! History will be made!"
"positive","adhitia sofyan on Java Jazz, March 3rd, can't wait! Give me a day off, please..."
"negative","BJP members walk out from JPC meeting on 2G: Bharatiya Janata Party (BJP) members on Tuesday walked out of the p... http://t.co/pOvV7bds"
"positive","Take care (geddit) to see A Celebration of Harold Pinter at IP on Sat Aug 25 with celebrated actor Julian Sands - 01943 609539 for tickets"
"positive","This Saturday I'll be playing B2B with Dark-E at Sjoekoe bday bash ( Cherry Moon ). Be there!!! Full line up:... http://t.co/z5SAnGLC"
"positive","Pakistan Cricket Board hopeful of Bangladesh visit: Karachi: Pakistan's cricket board said on Sunday it hopes to... http://t.co/7TBE9Vd4"
"positive","Love Shepard Fairey's work and in particular this portrait of Bob Dylan, the reluctant spokesman: http://t.co/S5zbcXcM"
"positive","Tryna prepare myself for this concert Sunday. Two of the greatest Hip-Hop/R&amp;B artist on the same stage, same http://t.co/N2jG9MJR"
"negative","Btw, whoever decided to use Rohypnol as a date rape drug, may you get creepy diseases and may you wish to die every second of your life! &gt;_&lt;"
"positive","@Freak_Franchise  Make Sure you tune into @4playnation On http://t.co/S0IHr27X, tomorrow from 1pm to 3pm, Special Guest Young Savage"
"positive","Get excited for The Local Q Birthday Bash on Friday night by checking out the band profile of Trifecta here: http://t.co/r1z0FNMv"
"positive","Happy Birthday to the late, great Jim Henson. Changed the world of entertainment. May have to stick a Muppet film on in tribute later"
"positive","Had a great night at the club and now just chilling before going to the pit of doom for the night! Will be playing HF again tomorrow....."
"positive","Free PSN game on PSN Game is ZEN PINBALL 2. Free Game on Playstation Network. As of Oct 1 2012. Get it now while its free. USA PSN"
"positive","An incredible day in West Liberty, Ky. A small but strong community moving forward after March 2 tornadoes. http://t.co/1xYVbGtc"
"positive","Mersey side derby then the NFL at wembley. Nice little Sunday lined up."
"positive","@doconnell1988 @Eamonn_Kenny @scuds49 @JonnyMcgailey Cheers  but no luck needed with d 2nd one, i got a supply of Rohypnol #ladieshereicome"
"negative","This dude from Jerusalem say he can't take a test Thursday b/c holloween Wednesday&amp;he's gonna have a hang over #purehonesty"
"negative","Looks for Tom Boonen but knows he'll be face down in a mountain of sherbet. Race day tomorrow. Prep of pros"
"positive","@Idieshoop let's just say, I call it the Casey's Trifecta. I'll explain in homeroom tomorrow....after I ask Cory to homecoming lol"
"positive","Wichita St is just a team full of corncobs. Also, if they play "We Ready" today, place will explode. #shakeandbakejays #BOOTSTOASSES"
"negative","I want to go see LA AROLLADORA BANDA EL LIMON on Sunday October 14 in Pico Rivera! But Ivan doesn't wanna go :( who will go with me? Tix $35"
"positive","@Girl4Music20 3rd album changes a lot. I know you hate Unbroken, but I love it! 1. Unbroken, Fix A Heart, In Real Life, Together, Skyscraper"
"positive","Celebrating St George's Day, the Bard's Birth Day or even World Book Day? April 23rd is a great day for history, heritage & culture. Enjoy!"
"positive","@ryanbertrand3 met you today at Cobham!! Gave you my twitter? Any chance of that follow mate? Thanks for stopping, good luck tomorrow dude!!"
"positive","Cool couch... Sep Kamvar, Reid Hoffman, Cesar Hidalgo and John Maeda with John Hockenberry #MediaLabIO @medialab"
"positive","@crazycharmx3 i love doing that, hey we are running the fox run tomorrow together k ? lets try and beat the record"
"negative","@danggem cafE ONE?! "They lose Dongwoo on a Tuesday." is the first lINE IS THAT THE RIGHT FIC NO IT DOESN'T SEEM LIKE IT WAIT LINK ME?! LMAO"
"positive","RG-3 showed me a lot of skill 2day but, the NYG &amp; Defense secures Eli's 24th come from behind victory! Forcing 5 turnovers on WSH #HiHaterz"
"negative","Lakers vs Heat on Jan. 17th! It's D Wade's b day... I feel bad he'll lose on his birthday lololol"
"positive","@ktvee Love the Iditarod! Used to do huge project when I taught 1st! Even went for start one year! Can't wait to see what you did!"
"negative","Who are the dumb asses who decided to shutdown Main St on a Friday for a town of 50,000+ for a Strawberry Festival"
"positive","@tinamanihuruk: Come and enjoy Java Jazz on the Move @SMS_Serpong Jan 28th ... | -- Serpong jauh, cyinn! :P"
"positive","Its Tuesday &amp; time for Young Life! 8:32pm Union Lyceum. Takin' it up a notch tonight! Come join us #whywouldyounot"
"positive","Can't wait 4 Mon! @nbcagt @sternshow: Check out Bill Carter's piece in the @NYTimes : "Prime-Time Stern" http://t.co/GZ5pxBCy @HowardStern"
"positive","Not too late to come down to our Monday night open mic to sing or just have a good time!  IGUANA 240 W 54 St. Will be here till 9 pm"
"positive","This time tomorrow I will be at Alexandra Palace seeing Jack White live for the second time in the last two months:D"
"positive","Just got him tickets to the Knicks vs Celtics game on October 20 Lmfao how mad would he be ?"
"positive","Saturday 27/10/12 Regal in session with The Big Tunes Crew @ the Iguana Reading more niceness to keep ya skanking hard."
"positive","National Council on Patient Information &amp; Education celebrates its 30th anniversary! Thanks 4 helping many learn about patient &amp; med safety"
"positive","Looking forward to preaching at Plant City's First Baptist Sunday @ 6:30pm. New City Church will be baptizing 2 into the Kingdom. Praise God"
"positive","TONIGHT!!! we proudly pres. our 7th HALLOWEEN party with LIMEWAX &amp; many more - this time at Studio 21 (twenty one) http://t.co/noBBKrxz"
